Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Jake Fraser-McGurk,J Fraser-McGurk,Overseas,Batter,2024,DC,75,78,C,Batters - C,0.3,Capped,2,0,234.04,330,0.0,0
Will Jacks,WG Jacks,Overseas,Batter,2024,RCB,75,78,C,Batters - C,0.3,Capped,3,0,175.57,230,11.11,2
Ankit Sharma,Ankit Sharma,Indian,Bowler,2012,DCH,75,78,C,Bowlers - C,0.3,Capped,7,0,138.46,18,6.83,4
Alfonso Thomas,AC Thomas,Overseas,Bowler,2011,PWI,75,78,C,Bowlers - C,0.3,Capped,2,0,25.0,1,7.71,11
Andrew McDonald,AB McDonald,Overseas,All-Rounder,2012,RCB,75,78,C,All-Rounders - C,0.3,Uncapped,5,0,134.29,47,6.1,5
Jagadeesha Suchith,J Suchith,Indian,Bowler,2022,SRH,75,78,C,Bowlers - C,0.3,Uncapped,5,0,25.0,2,7.78,7
Himmat Singh,Himmat Singh,Indian,Bowler,2025,LSG,75,78,C,Bowlers - C,0.3,Uncapped,2,0,0.0,0,0.0,0
Abu Nechim,AN Ahmed,Indian,Bowler,2013,MI,74,78,C,Bowlers - C,0.3,Uncapped,6,0,0.0,0,6.43,3
Chaminda Vaas,WPUJC Vaas,Overseas,Bowler,2010,DCH,74,78,C,Bowlers - C,0.3,Uncapped,3,0,88.24,30,6.32,9
Mukul Choudhary,MD Choudhary,Indian,Batter,2026,LSG,74,78,C,Batters - C,0.3,Capped,1,0,141.67,170,0.0,0
Graeme Smith,GC Smith,Overseas,Batter,2008,RR,74,78,C,Batters - C,0.3,Capped,4,0,121.82,441,0.0,0
Domnic Muthuswami,DJ Muthuswami,Indian,Bowler,2015,DC,74,78,C,Bowlers - C,0.3,Uncapped,1,0,33.33,1,7.21,4
Naveen-ul-Haq,Naveen-ul-Haq,Overseas,Bowler,2023,LSG,74,78,C,Bowlers - C,0.3,Capped,2,0,76.19,16,7.82,11
Oshane Thomas,O Thomas,Overseas,Bowler,2019,RR,74,78,C,Bowlers - C,0.3,Uncapped,1,0,0.0,0,7.9,5
Manvinder Bisla,MS Bisla,Indian,Wicketkeeper,2012,KKR,74,78,C,Wicketkeepers - C,0.3,Capped,6,1,133.12,213,0.0,0
Ramandeep Singh,Ramandeep Singh,Indian,Batter,2024,KKR,74,78,C,Batters - C,0.3,Capped,4,0,201.61,125,13.5,0
Sai Kishore,R Sai Kishore,Indian,Bowler,2022,GT,74,78,C,Bowlers - C,0.3,Uncapped,4,0,0.0,0,7.56,6
Romario Shepherd,R Shepherd,Overseas,Batter,2024,MI,74,78,C,Batters - C,0.3,Uncapped,5,0,271.43,57,13.25,1
Ben Rohrer,BJ Rohrer,Overseas,Batter,2013,DC,74,78,C,Batters - C,0.3,Capped,1,0,136.88,193,12.0,0
Dillon du Preez,D du Preez,Overseas,Bowler,2009,RCB,74,78,C,Bowlers - C,0.3,Uncapped,1,0,76.92,10,8.0,4
Chandrasekar Ganapathy,C Ganapathy,Indian,Batter,2010,CSK,74,78,C,Batters - C,0.3,Uncapped,1,0,0.0,0,13.0,0
Charl Langeveldt,CK Langeveldt,Overseas,Bowler,2010,KKR,74,78,C,Bowlers - C,0.3,Uncapped,3,0,0.0,0,8.0,5
Shai Hope,SD Hope,Overseas,Batter,2024,DC,74,78,C,Batters - C,0.3,Capped,1,0,150.0,183,0.0,0
Shaun Tait,SW Tait,Overseas,Bowler,2012,RR,74,78,C,Bowlers - C,0.3,Uncapped,4,0,0.0,0,6.61,6
Salil Arora,Salil Arora,Indian,Batter,2026,SRH,74,78,C,Batters - C,0.3,Capped,1,0,159.18,156,0.0,0
Salman Butt,Salman Butt,Overseas,Batter,2008,KKR,74,78,C,Batters - C,0.3,Capped,1,0,119.88,193,0.0,0
