Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Tilak Varma,Tilak Varma,Indian,Batter,2023,MI,81,86,B,Batters - B,0.75,Capped,5,0,164.11,343,7.0,0
Tristan Stubbs,T Stubbs,Overseas,Wicketkeeper,2024,DC,81,86,B,Wicketkeepers - B,0.75,Capped,5,1,190.91,378,7.5,3
Aiden Markram,AK Markram,Overseas,Batter,2025,LSG,81,86,B,Batters - B,0.75,Capped,6,0,148.83,445,9.27,4
Anil Kumble,A Kumble,Indian,Bowler,2009,RCB,81,86,B,Bowlers - B,0.75,Capped,3,0,84.21,16,5.86,21
Ashok Dinda,AB Dinda,Indian,Bowler,2010,KKR,81,85,B,Bowlers - B,0.75,Capped,10,0,0.0,0,6.56,9
Lakshmipathy Balaji,L Balaji,Indian,Bowler,2012,KKR,81,85,B,Bowlers - B,0.75,Capped,7,0,0.0,0,5.4,11
Lendl Simmons,LMP Simmons,Overseas,Batter,2015,MI,81,85,B,Batters - B,0.75,Capped,4,0,122.45,540,0.0,0
Murali Kartik,M Kartik,Indian,Bowler,2010,KKR,81,85,B,Bowlers - B,0.75,Capped,7,0,100.0,22,6.49,9
Jonny Bairstow,JM Bairstow,Overseas,Wicketkeeper,2019,SRH,81,85,B,Wicketkeepers - B,0.75,Capped,6,1,157.24,445,0.0,0
Karun Nair,KK Nair,Indian,Batter,2014,RR,81,85,B,Batters - B,0.75,Capped,11,0,142.24,330,0.0,0
Wriddhiman Saha,WP Saha,Indian,Wicketkeeper,2020,SRH,81,85,B,Wicketkeepers - B,0.75,Uncapped,17,1,139.87,214,0.0,0
Trent Boult,TA Boult,Overseas,Bowler,2020,MI,81,85,B,Bowlers - B,0.75,Capped,12,0,0.0,0,8.14,25
Josh Inglis,JP Inglis,Overseas,Wicketkeeper,2026,LSG,81,85,B,Wicketkeepers - B,0.75,Uncapped,2,1,186.01,266,0.0,0
Vinay Kumar,R Vinay Kumar,Indian,Bowler,2013,RCB,81,85,B,Bowlers - B,0.75,Capped,11,0,159.09,70,8.39,23
Deepak Hooda,DJ Hooda,Indian,Batter,2022,LSG,81,85,B,Batters - B,0.75,Capped,11,0,136.67,451,10.75,1
Zaheer Khan,Z Khan,Indian,Bowler,2012,RCB,80,85,B,Bowlers - B,0.75,Capped,10,0,70.59,12,7.55,17
Steven Smith,SPD Smith,Overseas,Batter,2012,PWI,80,85,B,Batters - B,0.75,Capped,9,0,135.58,362,15.0,0
Shane Warne,SK Warne,Overseas,Bowler,2011,RR,80,85,B,Bowlers - B,0.75,Capped,4,0,50.0,10,6.32,13
Cooper Connolly,C Connolly,Overseas,Batter,2026,PBKS,80,85,B,Batters - B,0.75,Capped,1,0,163.12,491,0.0,0
Chris Lynn,CA Lynn,Overseas,Batter,2017,KKR,80,85,B,Batters - B,0.75,Capped,7,0,180.98,295,0.0,0
Glenn McGrath,GD McGrath,Overseas,Bowler,2008,DC,80,85,B,Bowlers - B,0.75,Capped,1,0,80.0,4,6.61,12
Phil Salt,PD Salt,Overseas,Batter,2024,KKR,80,85,B,Batters - B,0.75,Capped,4,0,182.01,435,0.0,0
Prithvi Shaw,PP Shaw,Indian,Batter,2021,DC,80,85,B,Batters - B,0.75,Capped,7,0,159.14,479,0.0,0
Priyansh Arya,Priyansh Arya,Indian,Batter,2025,PBKS,80,85,B,Batters - B,0.75,Capped,2,0,182.27,545,0.0,0
Deepak Chahar,DL Chahar,Indian,Bowler,2019,CSK,80,85,B,Bowlers - B,0.75,Capped,10,0,77.78,7,7.47,22
Dan Christian,DT Christian,Overseas,Bowler,2017,RPS,80,85,B,Bowlers - B,0.75,Capped,6,0,161.22,79,7.45,11
Nathan Coulter-Nile,NM Coulter-Nile,Overseas,Bowler,2015,DC,80,85,B,Bowlers - B,0.75,Capped,8,0,111.11,20,7.55,15
Mohammed Siraj,Mohammed Siraj,Indian,Bowler,2021,RCB,80,85,B,Bowlers - B,0.75,Capped,10,0,76.92,20,6.79,11
Parthiv Patel,PA Patel,Indian,Wicketkeeper,2017,MI,80,84,B,Wicketkeepers - B,0.75,Capped,12,1,134.81,395,0.0,0
Kevin Pietersen,KP Pietersen,Overseas,All-Rounder,2010,RCB,80,84,B,All-Rounders - B,0.75,Capped,5,0,150.32,236,7.7,3
Johan Botha,J Botha,Overseas,All-Rounder,2011,RR,80,84,B,All-Rounders - B,0.75,Capped,5,0,116.16,230,6.64,7
Lungi Ngidi,L Ngidi,Overseas,Bowler,2018,CSK,80,84,B,Bowlers - B,0.75,Capped,5,0,0.0,0,6.0,11
Kuldeep Yadav,Kuldeep Yadav,Indian,Bowler,2025,DC,80,84,B,Bowlers - B,0.75,Capped,10,0,112.5,18,7.36,15
Vijay Shankar,V Shankar,Indian,Batter,2018,DC,79,84,B,Batters - B,0.75,Capped,10,0,143.24,212,11.6,1
Kumar Sangakkara,KC Sangakkara,Overseas,Wicketkeeper,2008,PBKS,79,84,B,Wicketkeepers - B,0.75,Capped,6,1,161.62,320,0.0,0
Anrich Nortje,A Nortje,Overseas,Bowler,2021,DC,79,84,B,Bowlers - B,0.75,Capped,7,0,0.0,0,6.16,12
Travis Head,TM Head,Overseas,Batter,2024,SRH,79,84,B,Batters - B,0.75,Capped,5,0,191.55,567,19.2,0
Saurabh Tiwary,SS Tiwary,Indian,Batter,2010,MI,79,84,B,Batters - B,0.75,Capped,11,0,135.6,419,0.0,0
Siddharth Trivedi,SK Trivedi,Indian,Bowler,2013,RR,79,84,B,Bowlers - B,0.75,Capped,6,0,42.86,3,6.85,12
Devon Conway,DP Conway,Overseas,Batter,2023,CSK,79,84,B,Batters - B,0.75,Capped,3,0,139.71,672,0.0,0
Dhruv Jurel,Dhruv Jurel,Indian,Wicketkeeper,2026,RR,79,84,B,Wicketkeepers - B,0.75,Capped,4,1,154.65,515,0.0,0
Dhawal Kulkarni,DS Kulkarni,Indian,Bowler,2015,RR,79,84,B,Bowlers - B,0.75,Capped,14,0,36.36,4,7.91,13
Finn Allen,FH Allen,Overseas,Batter,2026,KKR,79,84,B,Batters - B,0.75,Capped,1,0,214.11,349,0.0,0
Eoin Morgan,EJG Morgan,Overseas,Batter,2020,KKR,79,84,B,Batters - B,0.75,Capped,8,0,137.83,419,0.0,0
Sreenath Aravind,S Aravind,Indian,Bowler,2016,RCB,79,84,B,Bowlers - B,0.75,Capped,5,0,0.0,0,7.41,11
Mitchell Starc,MA Starc,Overseas,Bowler,2015,RCB,79,84,B,Bowlers - B,0.75,Capped,5,0,78.57,11,6.77,20
James Faulkner,JP Faulkner,Overseas,Bowler,2013,RR,79,84,B,Bowlers - B,0.75,Capped,7,0,100.0,57,6.76,28
Marcus Stoinis,MP Stoinis,Overseas,Batter,2023,LSG,79,84,B,Batters - B,0.75,Capped,11,0,150.0,408,9.23,5
Moeen Ali,MM Ali,Overseas,All-Rounder,2019,RCB,79,84,B,All-Rounders - B,0.75,Capped,8,0,165.41,220,6.76,6
Jitesh Sharma,JM Sharma,Indian,Wicketkeeper,2025,RCB,79,84,B,Wicketkeepers - B,0.75,Capped,5,1,176.35,261,0.0,0
Manoj Tiwary,MK Tiwary,Indian,Batter,2011,KKR,79,84,B,Batters - B,0.75,Capped,10,0,110.46,359,11.5,0
Rajat Bhatia,R Bhatia,Indian,Bowler,2012,KKR,79,84,B,Bowlers - B,0.75,Capped,10,0,125.0,35,7.32,13
Ryan Rickelton,RD Rickelton,Overseas,Wicketkeeper,2025,MI,79,84,B,Wicketkeepers - B,0.75,Capped,2,1,150.97,388,0.0,0
Avesh Khan,Avesh Khan,Indian,Bowler,2021,DC,79,84,B,Bowlers - B,0.75,Capped,10,0,166.67,5,7.38,24
Shreyas Gopal,S Gopal,Indian,Bowler,2019,RR,79,84,B,Bowlers - B,0.75,Capped,9,0,136.96,63,7.23,20
Rahul Tripathi,RA Tripathi,Indian,Batter,2022,SRH,79,84,B,Batters - B,0.75,Capped,9,0,158.24,413,0.0,0
Ryan Harris,RJ Harris,Overseas,Bowler,2010,DCH,78,84,C,Bowlers - C,0.5,Capped,5,0,115.38,45,7.6,14
S Badrinath,S Badrinath,Indian,Batter,2011,CSK,78,84,C,Batters - C,0.5,Capped,6,0,126.52,396,0.0,0
Adam Gilchrist,AC Gilchrist,Overseas,Wicketkeeper,2009,DCH,78,84,C,Wicketkeepers - C,0.5,Capped,6,1,152.31,495,0.0,0
Tillakaratne Dilshan,TM Dilshan,Overseas,Batter,2009,DC,78,83,C,Batters - C,0.5,Capped,6,0,122.58,418,6.12,0
Liam Livingstone,LS Livingstone,Overseas,All-Rounder,2022,PBKS,78,83,C,All-Rounders - C,0.5,Capped,7,0,182.08,437,8.78,6
Ravi Rampaul,R Rampaul,Overseas,Bowler,2013,RCB,78,83,C,Bowlers - C,0.5,Capped,2,0,102.7,38,7.03,15
Roelof van der Merwe,RE van der Merwe,Overseas,All-Rounder,2009,RCB,78,83,C,All-Rounders - C,0.5,Capped,5,0,124.49,122,7.29,9
Ashutosh Sharma,Ashutosh Sharma,Indian,Batter,2026,DC,78,83,C,Batters - C,0.5,Capped,3,0,181.91,171,0.0,0
Arshdeep Singh,Arshdeep Singh,Indian,Bowler,2021,PBKS,78,83,C,Bowlers - C,0.5,Capped,8,0,66.67,2,8.27,18
Cameron White,CL White,Overseas,Batter,2012,DCH,78,83,C,Batters - C,0.5,Capped,5,0,149.69,479,9.0,0
Shane Bond,SE Bond,Overseas,Bowler,2010,KKR,78,83,C,Bowlers - C,0.5,Capped,1,0,50.0,1,7.23,9
Shadab Jakati,SB Jakati,Indian,Bowler,2010,CSK,78,83,C,Bowlers - C,0.5,Capped,7,0,0.0,0,7.66,13
Doug Bollinger,DE Bollinger,Overseas,Bowler,2011,CSK,78,83,C,Bowlers - C,0.5,Capped,3,0,0.0,0,7.0,17
Paul Collingwood,PD Collingwood,Overseas,All-Rounder,2010,DC,78,83,C,All-Rounders - C,0.5,Capped,1,0,130.13,203,6.81,5
Pat Cummins,PJ Cummins,Overseas,All-Rounder,2020,KKR,78,83,C,All-Rounders - C,0.5,Capped,9,0,128.07,146,7.87,12
Matheesha Pathirana,M Pathirana,Overseas,Bowler,2024,CSK,78,83,C,Bowlers - C,0.5,Uncapped,5,0,0.0,0,7.68,13
Shashank Singh,Shashank Singh,Indian,Batter,2024,PBKS,78,83,C,Batters - C,0.5,Capped,4,0,164.65,354,5.0,1
Wayne Parnell,WD Parnell,Overseas,Bowler,2012,PWI,78,83,C,Bowlers - C,0.5,Uncapped,5,0,70.37,19,6.1,5
Angkrish Raghuvanshi,A Raghuvanshi,Indian,Wicketkeeper,2026,KKR,78,83,C,Wicketkeepers - C,0.5,Capped,3,1,146.53,422,0.0,0
Mustafizur Rahman,Mustafizur Rahman,Overseas,Bowler,2016,SRH,78,83,C,Bowlers - C,0.5,Capped,8,0,0.0,0,6.9,17
Pathum Nissanka,P Nissanka,Overseas,Batter,2026,DC,78,83,C,Batters - C,0.5,Capped,1,0,158.86,278,0.0,0
Mahela Jayawardene,DPMD Jayawardene,Overseas,Batter,2010,PBKS,78,83,C,Batters - C,0.5,Capped,6,0,148.33,445,0.0,0
Manan Vohra,M Vohra,Indian,Batter,2014,PBKS,78,83,C,Batters - C,0.5,Capped,9,0,139.06,324,0.0,0
Mandeep Singh,Mandeep Singh,Indian,Batter,2012,PBKS,78,83,C,Batters - C,0.5,Capped,14,0,126.32,432,0.0,0
Ben Stokes,BA Stokes,Overseas,All-Rounder,2017,RPS,78,82,C,All-Rounders - C,0.5,Capped,6,0,142.99,316,7.18,12
Brad Hodge,BJ Hodge,Overseas,Batter,2013,RR,78,82,C,Batters - C,0.5,Capped,7,0,134.4,293,3.0,0
Stuart Binny,STR Binny,Indian,All-Rounder,2013,RR,78,82,C,All-Rounders - C,0.5,Capped,10,0,147.24,293,6.75,6
Brett Lee,B Lee,Overseas,Bowler,2009,PBKS,78,82,C,Bowlers - C,0.5,Uncapped,6,0,82.35,28,5.55,5
Tim Southee,TG Southee,Overseas,Bowler,2022,KKR,78,82,C,Bowlers - C,0.5,Capped,10,0,16.67,2,7.86,14
Harpreet Brar,Harpreet Brar,Indian,All-Rounder,2021,PBKS,78,82,C,All-Rounders - C,0.5,Capped,8,0,110.34,64,6.04,5
Mithun Manhas,M Manhas,Indian,Bowler,2008,DC,78,82,C,Bowlers - C,0.5,Uncapped,7,0,0.0,0,0.0,0
Ross Taylor,LRPL Taylor,Overseas,Batter,2008,RCB,78,82,C,Batters - C,0.5,Uncapped,7,0,183.95,149,0.0,0
Kyle Mayers,KR Mayers,Overseas,Batter,2023,LSG,78,82,C,Batters - C,0.5,Capped,1,0,144.11,379,8.43,0
Abishek Porel,Abishek Porel,Indian,Batter,2024,DC,78,82,C,Batters - C,0.5,Capped,4,0,159.51,327,0.0,0
Dimitri Mascarenhas,AD Mascarenhas,Overseas,Bowler,2012,PBKS,78,82,C,Bowlers - C,0.5,Uncapped,5,0,87.5,14,6.56,7
Umar Gul,Umar Gul,Overseas,Bowler,2008,KKR,78,82,C,Bowlers - C,0.5,Uncapped,1,0,205.26,39,8.18,12
Ayush Badoni,A Badoni,Indian,Batter,2025,LSG,78,82,C,Batters - C,0.5,Capped,5,0,148.2,329,7.8,2
Lockie Ferguson,LH Ferguson,Overseas,Bowler,2021,KKR,78,82,C,Bowlers - C,0.5,Capped,9,0,163.64,18,7.47,13
Ayush Mhatre,A Mhatre,Indian,Batter,2025,CSK,78,82,C,Batters - C,0.5,Capped,2,0,188.98,240,0.0,0
Dilhara Fernando,CRD Fernando,Overseas,Bowler,2010,MI,78,82,C,Bowlers - C,0.5,Uncapped,2,0,100.0,2,7.26,7
David Hussey,DJ Hussey,Overseas,Batter,2012,PBKS,78,82,C,Batters - C,0.5,Capped,7,0,129.84,396,7.0,3
Noor Ahmad,Noor Ahmad,Overseas,Bowler,2025,CSK,78,82,C,Bowlers - C,0.5,Capped,4,0,41.18,7,8.16,24
Mitchell McClenaghan,MJ McClenaghan,Overseas,Bowler,2016,MI,78,82,C,Bowlers - C,0.5,Capped,5,0,147.83,34,8.17,17
Josh Hazlewood,JR Hazlewood,Overseas,Bowler,2022,RCB,78,82,C,Bowlers - C,0.5,Capped,6,0,69.23,18,8.11,20
Siddarth Kaul,S Kaul,Indian,Bowler,2017,SRH,77,82,C,Bowlers - C,0.5,Capped,8,0,0.0,0,8.41,16
Naman Ojha,NV Ojha,Indian,Wicketkeeper,2012,DC,77,82,C,Wicketkeepers - C,0.5,Capped,10,1,113.84,255,0.0,0
Fidel Edwards,FH Edwards,Overseas,Bowler,2009,DCH,77,82,C,Bowlers - C,0.5,Uncapped,1,0,80.0,4,6.6,5
Rahul Dravid,R Dravid,Indian,Batter,2013,RR,77,82,C,Batters - C,0.5,Capped,6,0,110.82,471,0.0,0
Farveez Maharoof,MF Maharoof,Overseas,Bowler,2008,DC,77,82,C,Bowlers - C,0.5,Capped,3,0,158.23,125,6.92,15
Sarfaraz Khan,SN Khan,Indian,Batter,2019,PBKS,77,81,C,Batters - C,0.5,Capped,9,0,125.87,180,18.0,0
Shardul Thakur,SN Thakur,Indian,Bowler,2021,CSK,77,81,C,Bowlers - C,0.5,Capped,11,0,100.0,5,8.81,21
Dirk Nannes,DP Nannes,Overseas,Bowler,2010,DC,77,81,C,Bowlers - C,0.5,Capped,4,0,30.77,4,6.52,7
Shaun Pollock,SM Pollock,Overseas,All-Rounder,2008,MI,77,81,C,All-Rounders - C,0.5,Capped,1,0,132.43,147,6.54,11
Abdul Samad,Abdul Samad,Indian,Batter,2023,SRH,77,81,C,Batters - C,0.5,Capped,7,0,132.03,169,0.0,0
Shahid Afridi,Shahid Afridi,Overseas,Bowler,2008,DCH,77,81,C,Bowlers - C,0.5,Capped,1,0,176.09,81,7.5,9
Kevon Cooper,KK Cooper,Overseas,Bowler,2012,RR,77,81,C,Bowlers - C,0.5,Uncapped,3,0,190.0,38,7.25,10
M Shahrukh Khan,M Shahrukh Khan,Indian,Batter,2025,GT,77,81,C,Batters - C,0.5,Capped,6,0,179.0,179,13.0,1
Ajit Chandila,A Chandila,Indian,Bowler,2013,RR,77,81,C,Bowlers - C,0.5,Capped,2,0,66.67,4,6.24,6
Adam Zampa,A Zampa,Overseas,Bowler,2016,RPS,77,81,C,Bowlers - C,0.5,Uncapped,5,0,0.0,0,6.76,12
Makhaya Ntini,M Ntini,Overseas,Bowler,2008,CSK,77,81,C,Bowlers - C,0.5,Capped,1,0,61.11,11,6.91,7
Naman Dhir,Naman Dhir,Indian,Batter,2025,MI,77,81,C,Batters - C,0.5,Capped,3,0,182.61,252,5.25,0
Pradeep Sangwan,PJ Sangwan,Indian,Bowler,2009,DC,77,81,C,Bowlers - C,0.5,Capped,9,0,60.0,6,7.71,15
Brad Hogg,GB Hogg,Overseas,Bowler,2012,RR,77,81,C,Bowlers - C,0.5,Capped,4,0,93.75,15,7.03,10
Evin Lewis,E Lewis,Overseas,Batter,2018,MI,77,81,C,Batters - C,0.5,Capped,4,0,138.41,382,0.0,0
Sreesanth,S Sreesanth,Indian,Bowler,2011,KTK,77,81,C,Bowlers - C,0.5,Capped,5,0,11.11,1,6.47,7
Sourav Ganguly,SC Ganguly,Indian,Batter,2010,KKR,77,81,C,Batters - C,0.5,Capped,5,0,117.66,493,10.75,0
Ben Hilfenhaus,BW Hilfenhaus,Overseas,Bowler,2012,CSK,77,81,C,Bowlers - C,0.5,Capped,2,0,0.0,0,6.85,14
Gurkeerat Singh Mann,Gurkeerat Singh,Indian,Wicketkeeper,2017,PBKS,76,81,C,Wicketkeepers - C,0.5,Uncapped,7,1,0.0,0,0.0,0
Harmeet Singh,Harmeet Singh,Indian,Bowler,2010,DCH,76,81,C,Bowlers - C,0.5,Capped,6,0,0.0,0,7.25,8
Murugan Ashwin,M Ashwin,Indian,Bowler,2020,PBKS,76,81,C,Bowlers - C,0.5,Capped,7,0,100.0,4,7.46,10
Kartik Sharma,Kartik Sharma,Indian,Batter,2026,CSK,76,81,C,Batters - C,0.5,Capped,1,0,136.57,295,0.0,0
Kedar Jadhav,KM Jadhav,Indian,Wicketkeeper,2017,RCB,76,81,C,Wicketkeepers - C,0.5,Capped,12,1,143.55,267,0.0,0
Varun Aaron,VR Aaron,Indian,Bowler,2014,RCB,76,81,C,Bowlers - C,0.5,Capped,9,0,102.94,35,8.15,16
Prasidh Krishna,M Prasidh Krishna,Indian,Bowler,2025,GT,76,81,C,Bowlers - C,0.5,Capped,7,0,0.0,0,8.27,25
Krishnappa Gowtham,K Gowtham,Indian,Bowler,2018,RR,76,80,C,Bowlers - C,0.5,Capped,6,0,196.88,126,7.8,11
Thisara Perera,NLTC Perera,Overseas,All-Rounder,2013,SRH,76,80,C,All-Rounders - C,0.5,Capped,6,0,142.42,235,8.01,19
Nehal Wadhera,N Wadhera,Indian,Batter,2025,PBKS,76,80,C,Batters - C,0.5,Capped,4,0,145.85,369,10.8,0
Jason Roy,JJ Roy,Overseas,Batter,2023,KKR,76,80,C,Batters - C,0.5,Capped,4,0,151.6,285,0.0,0
Andrew Tye,AJ Tye,Overseas,Bowler,2018,PBKS,76,80,C,Bowlers - C,0.5,Capped,5,0,84.21,32,8.0,24
Amit Singh,A Singh,Indian,Bowler,2009,RR,76,80,C,Bowlers - C,0.5,Uncapped,3,0,33.33,1,5.43,9
Mitchell Santner,MJ Santner,Overseas,Bowler,2023,CSK,76,80,C,Bowlers - C,0.5,Uncapped,7,0,50.0,2,6.75,3
